1학기 개강일이 언제야?	8.txt
휴학 신청 기간은 언제부터 언제까지야?	8.txt
복학 신청은 언제 해야 해?	8.txt
자퇴 신청을 하려면 언제까지 해야 돼?	8.txt
학부 수강신청 변경은 언제까지 가능해?	8.txt
대학원 수강신청 변경 기간이 언제야?	8.txt
2024학년도 전기 학위수여식 날짜가 언제야?	8.txt
수강신청 취소는 언제까지 할 수 있어?	8.txt
수업일수 1/4선이 언제야?	8.txt
학사경고 대상자는 언제 상담해야 해?	8.txt
등록금 분할납부는 언제까지 해야 돼?	8.txt
융합전공 1차 신청 시기가 언제야?	8.txt
대학원 학위논문 예비심사는 언제 신청해?	8.txt
미래설계 신청은 언제 하면 돼?	8.txt
1학기 중간시험은 언제 시작해?	8.txt
융합전공 확정은 언제 나와?	8.txt
복수전공 신청은 언제 해?	8.txt
1학기 기말고사 기간은 언제야?	8.txt
성적입력 및 성적정정은 언제까지 가능해?	8.txt
1학기 종강일이 언제야?	8.txt
하계 계절학기는 언제 개강해?	8.txt
2학기 복수전공 2차 신청은 언제야?	8.txt
2학기 수강신청은 언제부터 할 수 있어?	8.txt
대학원 수강신청은 언제 시작해?	8.txt
2학기 등록은 언제까지 해야 돼?	8.txt
여름방학은 언제 끝나?	8.txt
1학기 학부 수강신청 확인서 발급은 언제 가능해?	8.txt
학사경고 계획서 등록은 언제까지 해야 해?	8.txt
대학원 학위논문 예비심사 결과는 언제 발표돼?	8.txt
복수전공 신청 결과는 언제 알 수 있어?	8.txt
하계 계절학기 등록은 언제 해야 해?	8.txt
1학기 성적확인은 언제부터 가능해?	8.txt
미래설계 신청 결과는 언제 확인할 수 있어?	8.txt
2학기 등록금 분할납부는 언제 시작해?	8.txt
수업일수 1/4선 이후 휴학 가능한가?	8.txt
복수전공 2차 신청 결과는 언제 발표돼?	8.txt
수강신청 변경 기간이 끝난 후 취소할 수 있어?	8.txt
학사경고 상담은 어디서 해?	8.txt
중간시험 일정은 어디서 확인해?	8.txt
기말고사 장소는 어디서 확인할 수 있어?	8.txt
하계 계절학기 수업은 몇 주 동안 진행돼?	8.txt
복수전공 신청 방법은 어떻게 돼?	8.txt
2학기 수강신청은 몇 시부터 시작해?	8.txt
등록금 분할납부 신청은 어디서 해?	8.txt
융합전공 신청 방법은 어디서 확인해?	8.txt
대학원 수강신청 취소는 언제까지 가능해?	8.txt
1학기 성적정정 신청은 어디서 해야 해?	8.txt
여름방학 동안 계절학기 외 다른 프로그램 있어?	8.txt
2학기 수강신청 시 유의사항은 뭐야?	8.txt
2025학년도 2학기 개강일이 언제야?	9.txt
학부생 휴학 신청은 언제 할 수 있어?	9.txt
대학원 논문제출자격시험 신청 기간이 언젠지 알려줄래?	9.txt
수강확정은 언제까지 해야 해?	9.txt
수강 정정은 몇 월 며칠이야?	9.txt
학위논문 심사신청은 언제 시작해?	9.txt
수강신청 취소는 언제까지 가능해?	9.txt
강의평가는 언제 진행돼?	9.txt
학위논문 제출 마감일이 언제야?	9.txt
추석이 공휴일로 언제 들어가 있어?	9.txt
휴학 신청 2차는 언제 할 수 있어?	9.txt
첫 번째 휴가 기간은 언제 시작해?	9.txt
학사학위논문 마이크로필름 신청은 언제 해야 해?	9.txt
중간강의평가는 언제부터야?	9.txt
수업일수 2/4는 언제야?	9.txt
두 번째 휴가 일정은 어떻게 돼?	9.txt
학위논문 심사신청 최종 등록일은 언제야?	9.txt
대학원 과정 종료일은 언제야?	9.txt
